,number,name,name_feeder_T,power_T,voltage_l,subscriber,Trs,fake_sect,sec_short
0,17,Щегловская,1А+Б,40000,6,"ОАО ""НПО""Сплав""",Т-1,1 СкШ 6 кВ ПС Щегловская,1 СкШ 6 кВ
11,17,Щегловская,"0,кабель А",40000,6,ОАО Комбайнмашстрой,Т-2,2 СкШ 6 кВ ПС Щегловская,2 СкШ 6 кВ
25,20,Барсуки,Асфальтовый з-д 1,25000,6,"ООО ""Техпрогресс плюс""",Т-1,1 СкШ 6 кВ ПС Барсуки,1 СкШ 6 кВ
32,20,Барсуки,Асфальтовый завод 2,25000,6,"ООО ""Техпрогресс Т""",Т-2,2 СкШ 6 кВ ПС Барсуки,2 СкШ 6 кВ
39,21,Подземгаз,4,16000,6,АО Тул. гор. электр. сети,Т-1,1 СкШ 6 кВ ПС Подземгаз,1 СкШ 6 кВ
56,21,Подземгаз,2,16000,6,АО Газстройдеталь,Т-2,2 СкШ 6 кВ ПС Подземгаз,2 СкШ 6 кВ
71,24,Рудаково,Мастерские-2,25000,6,ОАО Скуратовский опытно-экспериментальный завод,Т-1,1 СкШ 6 кВ ПС Рудаково,1 СкШ 6 кВ
81,24,Рудаково,Сельэлектро,25000,6,Ленинский РЭС,Т-2,2 СкШ 6 кВ ПС Рудаково,2 СкШ 6 кВ
101,26,Липки,Шахта 4 (откл.),20000,6,Киреевский ГРЭС,Т-1,1 СкШ 6 кВ ПС Липки,1 СкШ 6 кВ
107,26,Липки,Шахта 5,20000,6,Киреевский ГРЭС,Т-2,2 СкШ 6 кВ ПС Липки,2 СкШ 6 кВ
116,27,Иваньково,.1 (откл.),6300,10,,Т-1,1 СкШ 10 кВ ПС Иваньково,1 СкШ 10 кВ
124,27,Иваньково,2,6300,10,Ясногорский РЭС,Т-2,2 СкШ 10 кВ ПС Иваньково,2 СкШ 10 кВ
128,31,Ломинцево,20,16000,6,ОАО Щекинская городская электросеть,Т-1,1 СкШ 6 кВ ПС Ломинцево,1 СкШ 6 кВ
134,31,Ломинцево,Шахта 22 (откл.),16000,6,ЗАО Внешстрой,Т-2,2 СкШ 6 кВ ПС Ломинцево,2 СкШ 6 кВ
139,36,Гурово,1,6300,6,Алексинский РЭС,Т-1,1 СкШ 6 кВ ПС Гурово,1 СкШ 6 кВ
144,36,Гурово,2,6300,6,Алексинский РЭС,Т-2,2 СкШ 6 кВ ПС Гурово,2 СкШ 6 кВ
150,41,Перекоп,2А+Б,63000,6,АО Тул. гор. электр. сети,Т-1,1 СкШ 6 кВ ПС Перекоп,1 СкШ 6 кВ
167,41,Перекоп,31,63000,10,АО Тул. гор. электр. сети,Т-1,1 СкШ 10 кВ ПС Перекоп,1 СкШ 10 кВ
172,41,Перекоп,1А+Б,60000,6,АО Тул. гор. электр. сети,Т-2,2 СкШ 6 кВ ПС Перекоп,2 СкШ 6 кВ
185,41,Перекоп,30,60000,10,АО Тул. гор. электр. сети,Т-2,2 СкШ 10 кВ ПС Перекоп,2 СкШ 10 кВ
190,46,Труново,6А+Б,20000,10,Киреевский ГРЭС,Т-1,1 СкШ 10 кВ ПС Труново,1 СкШ 10 кВ
194,46,Труново,8,25000,10,Киреевский ГРЭС,Т-2,2 СкШ 10 кВ ПС Труново,2 СкШ 10 кВ
199,49,Криволучье,Ввод 3 секц.ш. 6 кВ  ,16000,6,,Т-1,1 СкШ 6 кВ ПС Криволучье,1 СкШ 6 кВ
216,49,Криволучье,Ввод 4 секц.ш. 6 кВ  ,16000,6,,Т-2,2 СкШ 6 кВ ПС Криволучье,2 СкШ 6 кВ
234,52,Медвенка,Медвенка 1,16000,6,Ленинский РЭС,Т-1,1 СкШ 6 кВ ПС Медвенка,1 СкШ 6 кВ
239,52,Медвенка,Плеханово,16000,6,Ленинский РЭС,Т-2,2 СкШ 6 кВ ПС Медвенка,2 СкШ 6 кВ
242,53,Синетулица,Анишино,4000,6,Ленинский РЭС,Т-2,2 СкШ 6 кВ ПС Синетулица,2 СкШ 6 кВ
246,61,Сухотино,1,10000,6,"ООО ""Ревякинский металлургический комбинат""",Т-1,1 СкШ 6 кВ ПС Сухотино,1 СкШ 6 кВ
251,61,Сухотино,2,16000,6,"ООО ""Ревякинский металлургический комбинат""",Т-2,2 СкШ 6 кВ ПС Сухотино,2 СкШ 6 кВ
256,64,Кировская,1А+Б (откл.),40000,6,"АО ""Машиностроительный з-д ""Штамп"" им. Б.Л. Ванникова",Т-1,1 СкШ 6 кВ ПС Кировская,1 СкШ 6 кВ
263,64,Кировская,6А+Б,40000,6,ОАО Тульский патронный завод,Т-2,2 СкШ 6 кВ ПС Кировская,2 СкШ 6 кВ
272,75,Ясногорск,1,63000,6,Ясногорский РЭС,Т-1,1 СкШ 6 кВ ПС Ясногорск,1 СкШ 6 кВ
281,75,Ясногорск,2,63000,6,Ясногорский РЭС,Т-2,2 СкШ 6 кВ ПС Ясногорск,2 СкШ 6 кВ
292,77,Болоховская,Выводной В  3СкШ  6 Кв,10000,6,,Т-1,1 СкШ 6 кВ ПС Болоховская,1 СкШ 6 кВ
300,77,Болоховская,Выводной В 4 СкШ 6 кВ,25000,6,,Т-2,2 СкШ 6 кВ ПС Болоховская,2 СкШ 6 кВ
308,86,Малахово,1,20000,6,ОАО Щекинская городская электросеть,Т-1,1 СкШ 6 кВ ПС Малахово,1 СкШ 6 кВ
315,86,Малахово,2 ,20000,6,ЗАО Щекинский завод ЖБИ,Т-2,2 СкШ 6 кВ ПС Малахово,2 СкШ 6 кВ
323,88,Ясенки,Город 5А+Б,25000,6,ОАО Щекинская городская электросеть,Т-1,1 СкШ 6 кВ ПС Ясенки,1 СкШ 6 кВ
329,88,Ясенки,Город 1А+Б,25000,6,ОАО Щекинская городская электросеть,Т-2,2 СкШ 6 кВ ПС Ясенки,2 СкШ 6 кВ
338,89,Огаревка,7,25000,6,ПСП Газсельстрой,Т-1,1 СкШ 6 кВ ПС Огаревка,1 СкШ 6 кВ
