,number,name,name_feeder_T,power_T,voltage_l,subscriber,Trs,fake_sect,sec_short
0,17,Щегловская,1А+Б,40000,6,"ОАО ""НПО""Сплав""",Т-1,1 СкШ 6 кВ ПС Щегловская,1 СкШ 6 кВ
1,17,Щегловская,2А+Б,40000,6,Ленинский РЭС,Т-1,1 СкШ 6 кВ ПС Щегловская,1 СкШ 6 кВ
2,17,Щегловская,6А+Б,40000,6,"ОАО ""НПО""Сплав""",Т-1,1 СкШ 6 кВ ПС Щегловская,1 СкШ 6 кВ
3,17,Щегловская,8А+Б,40000,6,АО Тул. гор. электр. сети,Т-1,1 СкШ 6 кВ ПС Щегловская,1 СкШ 6 кВ
4,17,Щегловская,9А+Б,40000,6,"АО ""Щегловский вал""",Т-1,1 СкШ 6 кВ ПС Щегловская,1 СкШ 6 кВ
5,17,Щегловская,12А+Б,40000,6,ОАО Комбайнмашстрой,Т-1,1 СкШ 6 кВ ПС Щегловская,1 СкШ 6 кВ
6,17,Щегловская,15А+Б,40000,6,"АО "" КБП""",Т-1,1 СкШ 6 кВ ПС Щегловская,1 СкШ 6 кВ
7,17,Щегловская,Росинкас,40000,6,Ленинский РЭС,Т-1,1 СкШ 6 кВ ПС Щегловская,1 СкШ 6 кВ
8,17,Щегловская,31,40000,6,Ленинский РЭС,Т-1,1 СкШ 6 кВ ПС Щегловская,1 СкШ 6 кВ
9,17,Щегловская,33,40000,6,АО Тул. гор. электр. сети,Т-1,1 СкШ 6 кВ ПС Щегловская,1 СкШ 6 кВ
10,17,Щегловская,35 (откл),40000,6,,Т-1,1 СкШ 6 кВ ПС Щегловская,1 СкШ 6 кВ
11,17,Щегловская,"0,кабель А",40000,6,ОАО Комбайнмашстрой,Т-2,2 СкШ 6 кВ ПС Щегловская,2 СкШ 6 кВ
12,17,Щегловская,"0 ,кабель Б",40000,6,ООО Политэк Пайп,Т-2,2 СкШ 6 кВ ПС Щегловская,2 СкШ 6 кВ
13,17,Щегловская,3А+Б,40000,6,МКП Тулгорэлектротранс,Т-2,2 СкШ 6 кВ ПС Щегловская,2 СкШ 6 кВ
14,17,Щегловская,4А+Б,40000,6,Ленинский РЭС,Т-2,2 СкШ 6 кВ ПС Щегловская,2 СкШ 6 кВ
15,17,Щегловская,5А+Б,40000,6,"ОАО ""НПО""Сплав""",Т-2,2 СкШ 6 кВ ПС Щегловская,2 СкШ 6 кВ
16,17,Щегловская,7А+Б,40000,6,"АО "" КБП""",Т-2,2 СкШ 6 кВ ПС Щегловская,2 СкШ 6 кВ
17,17,Щегловская,,40000,6,,Т-2,2 СкШ 6 кВ ПС Щегловская,2 СкШ 6 кВ
18,17,Щегловская,10А+Б,40000,6,АО Тул. гор. электр. сети,Т-2,2 СкШ 6 кВ ПС Щегловская,2 СкШ 6 кВ
19,17,Щегловская,11А+Б,40000,6,АО Щегловский вал,Т-2,2 СкШ 6 кВ ПС Щегловская,2 СкШ 6 кВ
20,17,Щегловская, 13 А+Б,40000,6,"ТПП ОАО ""НПО ""Базальт""",Т-2,2 СкШ 6 кВ ПС Щегловская,2 СкШ 6 кВ
21,17,Щегловская,14А+Б,40000,6,"ОАО ""НПО""Сплав""",Т-2,2 СкШ 6 кВ ПС Щегловская,2 СкШ 6 кВ
